call_type,caller_number,contact_number,start_time,end_time
01,798770,790793,2025-05-05T14:44:52.0390916,2025-05-05T14:49:31.0390916
02,790793,798770,2025-05-05T14:44:52.0390916,2025-05-05T14:49:31.0390916
01,792499,798299,2025-05-05T14:59:52.0390916,2025-05-05T15:04:49.0390916
02,798299,792499,2025-05-05T14:59:52.0390916,2025-05-05T15:04:49.0390916
01,795785,798371,2025-05-05T15:14:52.0390916,2025-05-05T15:26:01.0390916
02,798371,795785,2025-05-05T15:14:52.0390916,2025-05-05T15:26:01.0390916
01,795096,791933,2025-05-05T15:29:52.0390916,2025-05-05T15:39:11.0390916
02,791933,795096,2025-05-05T15:29:52.0390916,2025-05-05T15:39:11.0390916
01,795328,792356,2025-05-05T15:44:52.0390916,2025-05-05T15:50:51.0390916
02,792356,795328,2025-05-05T15:44:52.0390916,2025-05-05T15:50:51.0390916
