call_type,caller_number,contact_number,start_time,end_time
01,79957184632,79180180833,2025-05-19T14:27:21.5197958,2025-05-19T14:23:26.5197958
02,79180180833,79957184632,2025-05-19T14:27:21.5197958,2025-05-19T14:23:26.5197958
01,79889933944,79622998206,2025-05-19T14:40:23.5197958,2025-05-19T14:38:26.5197958
02,79622998206,79889933944,2025-05-19T14:40:23.5197958,2025-05-19T14:38:26.5197958
01,79930696824,79554440118,2025-05-19T15:00:11.5197958,2025-05-19T14:53:26.5197958
02,79554440118,79930696824,2025-05-19T15:00:11.5197958,2025-05-19T14:53:26.5197958
01,79073700728,79028305612,2025-05-19T15:13:16.5197958,2025-05-19T15:08:26.5197958
02,79028305612,79073700728,2025-05-19T15:13:16.5197958,2025-05-19T15:08:26.5197958
01,79742491555,79019307992,2025-05-19T15:26:44.5197958,2025-05-19T15:23:26.5197958
02,79019307992,79742491555,2025-05-19T15:26:44.5197958,2025-05-19T15:23:26.5197958
